MAPPED_TRAIT,NLP_TERM,NLP_MESH_ID
dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 measurement,dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 measurement,
NOTCH3/PTPRS protein level ratio in blood,NOTCH3/PTPRS protein,
multiple epidermal growth factor-like domains protein 10 measurement,measurement,D054791
heterogeneous nuclear ribonucleoprotein Q amount,heterogeneous,D000076245
GRAP2/SNAP23 protein level ratio in blood,GRAP2/SNAP23 protein,
"triglyceride measurement, diet measurement",triglyceride measurement,
heterogeneous nuclear ribonucleoprotein D-like measurement,heterogeneous,D000076245
heterogeneous nuclear ribonucleoproteins A2/B1 measurement,heterogeneous,D000076245
"soluble transferrin receptor measurement, iron biomarker measurement",soluble,D000071756
DLK1/PIK3IP1 protein level ratio in blood,DLK1/PIK3IP1 protein,
coiled-coil domain-containing protein 134 measurement,coiled-coil domain-containing protein,
"alcohol use disorder measurement, response to trauma exposure",alcohol use disorder,
TDRKH/TST protein level ratio in blood,TDRKH/TST protein,
protein DGCR14 measurement,protein DGCR14,
"trans fatty acid measurement, trans/trans-18:2 fatty acid measurement",trans fatty acid measurement,
desert hedgehog protein n-product measurement,desert hedgehog protein n-product measurement,
"migraine disorder, blood glucose amount",migraine disorder,D008881
DOK2/GRAP2 protein level ratio in blood,DOK2/GRAP2 protein,
IL6ST/TYRO3 protein level ratio in blood,IL6ST/TYRO3 protein,
fragile X mental retardation syndrome-related protein 1 measurement,fragile X,D051860
"Headache, blood glucose amount",Headache,D006261
polyadenylate-binding protein 3 measurement,polyadenylate-binding protein 3,
AHCY/GRAP2 protein level ratio in blood,AHCY/GRAP2 protein,
TACC3/TBC1D23 protein level ratio in blood,TACC3/TBC1D23 protein,
proliferation-associated protein 2g4 measurement,proliferation-associated protein,
NTRK3/SCARF2 protein level ratio in blood,NTRK3/SCARF2 protein,
PARP1/TCL1A protein level ratio in blood,PARP1/TCL1A protein,
"cystatin C measurement, diet measurement",cystatin C measurement,
protein arginine N-methyltransferase 3 measurement,protein arginine,D000080062
GRAP2/LACTB2 protein level ratio in blood,GRAP2/LACTB2 protein,
"calcium intake measurement, colorectal cancer",calcium intake,
gamma-aminobutyric acid receptor-associated protein-like 2 measurement,gamma-aminobutyric acid,D005680
protein amnionless measurement,protein,D048948
regulator of microtubule dynamics protein 1 measurement,regulator,D051017
grb2-related adapter protein 2 measurement,grb2-related,
"blood pressure trait, trait in response to thiazide, response to beta blocker",blood pressure trait,
BCR/GRAP2 protein level ratio in blood,BCR/GRAP2 protein,
"coffee consumption measurement, alcohol dependence measurement",coffee,D003069
60S ribosomal protein L30 measurement,60S ribosomal protein L30,
"coffee consumption measurement, alcohol consumption quality",coffee,D003069
receptor-interacting serine/threonine-protein kinase 2 measurement,receptor-interacting,D000078723
DIABLO/GRAP2 protein level ratio in blood,blood,D001769
level of PDZ domain-containing protein 2 in blood,level,D000082162
ICAM2/IL7R protein level ratio in blood,ICAM2/IL7R protein,
UPF0696 protein C11orf68 measurement,C11orf68,
level of methenyltetrahydrofolate synthase domain-containing protein in blood,level,D000082162
level of von Willebrand factor A domain-containing protein 1 in blood,level,D000082162
UBX domain-containing protein 4 measurement,UBX domain-containing protein 4 measurement,
"systolic blood pressure, alcohol consumption quality",systolic blood pressure,
transmembrane protein PVRIG measurement,transmembrane protein,
receptor-type tyrosine-protein kinase flt3 measurement,receptor-type tyrosine-protein kinase flt3,
translationally-controlled tumor protein measurement,translationally-controlled tumor protein measurement,
platelet glycoprotein Ib alpha chain level,platelet glycoprotein,D019039
ERO1-like protein beta measurement,ERO1-like protein,
GRAP2/PLPBP protein level ratio in blood,GRAP2/PLPBP protein,
level of sushi repeat-containing protein SRPX in blood,level,D000082162
bone sialoprotein 2 measurement,bone sialoprotein 2 measurement,
shc-transforming protein 1 measurement,shc-transforming protein 1,
level of ADAMTS-like protein 2 in blood serum,level,D000082162
small glutamine-rich tetratricopeptide repeat-containing protein alpha measurement,repeat-containing protein alpha,
level of G-protein coupled receptor family C group 5 member C in blood,level,D000082162
DBI/TMSB10 protein level ratio in blood,DBI/TMSB10 protein,
DLK1/FAP protein level ratio in blood,DLK1/FAP protein,
fibroblast growth factor 6 amount,fibroblast growth factor,D016220
"interleukin-1 alpha measurement, gestational serum measurement, protein measurement, parental genotype effect measurement",interleukin-1 alpha,
fibroblast growth factor 16 amount,fibroblast growth factor,D016220
COL6A3/TAFA5 protein level ratio in blood,COL6A3/TAFA5 protein,
CKAP4/IL4R protein level ratio in blood,CKAP4/IL4R protein,
MIF/SUSD2 protein level ratio in blood,MIF/SUSD2 protein,
"advanced glycation end-product measurement, type 2 diabetes mellitus",advanced glycation,D000093362
ubiquitin-like protein 4A measurement,ubiquitin-like protein 4A,
chronic thromboembolic pulmonary hypertension,chronic thromboembolic pulmonary hypertension,
glycoprotein Xg measurement,glycoprotein,D015292
level of SLIT and NTRK-like protein 2 in blood serum,level,D000082162
ubiquitin-like protein ISG15 measurement,ubiquitin-like protein,
"trait in response to buspirone, trait in response to citalopram, antidepressant-induced dizziness, response to antidepressant",trait,D000071421
ICA1/MVK protein level ratio in blood,blood,D001769
NTRK2/TYRO3 protein level ratio in blood,NTRK2/TYRO3 protein,
SLIT and NTRK-like protein 1 measurement,SLIT,D000098552
lymphocyte antigen 6 complex locus protein G6c measurement,lymphocyte,D000944
"diastolic blood pressure, major depressive disorder",diastolic blood pressure,
leukocyte-specific transcript 1 protein measurement,leukocyte-specific transcript 1,
ICA1/PRDX3 protein level ratio in blood,ICA1/PRDX3 protein,
lysM and putative peptidoglycan-binding domain-containing protein 4 measurement,lysM,
level of M-phase phosphoprotein 8 in blood,level,D000082162
heat shock protein hsp 90-alpha/beta measurement,heat shock protein hsp,
lymphocyte activation gene 3 protein level,lymphocyte,D000944
GRAP2/PPP1R2 protein level ratio in blood,GRAP2/PPP1R2 protein,
death-associated protein kinase 2 measurement,death-associated protein kinase 2 measurement,
heat shock cognate 71 kda protein measurement,heat shock cognate 71 kda protein,
peptidoglycan recognition protein 1 measurement,peptidoglycan recognition protein 1,
level of protein canopy homolog 2 in blood,level,D000082162
heat shock protein HSP 90-beta measurement,heat shock protein HSP 90-beta measurement,
vitamin K measurement,vitamin K measurement,
GRAP2/PTPN6 protein level ratio in blood,GRAP2/PTPN6 protein,
level of a disintegrin and metalloproteinase with thrombospondin motifs 16 in blood,level,D000082162
level of protein MTSS 2 in blood,level,D000082162
lysozyme-like protein 2 measurement,measurement,D054791
trem-like transcript 2 protein measurement,trem-like transcript 2 protein,
ICA1/RABGAP1L protein level ratio in blood,ICA1/RABGAP1L,
level of zinc transporter ZIP5 in blood,level,D000082162
COMM domain-containing protein 7 measurement,COMM domain-containing protein 7,
cartilage intermediate layer protein 1 measurement,cartilage,D002356
cell cycle progression protein 1 measurement,cell cycle progression protein 1,
CD58/TYRO3 protein level ratio in blood,CD58/TYRO3 protein,
FOLR2/THY1 protein level ratio in blood,FOLR2/THY1 protein,
cold-inducible RNA-binding protein measurement,cold-inducible RNA-binding protein,
charged multivesicular body protein 3 measurement,charged multivesicular body protein 3,
PVALB/RILP protein level ratio in blood,PVALB/RILP protein,
ANPEP/NT5E protein level ratio in blood,ANPEP/NT5E protein,
E3 ubiquitin-protein ligase CHIP measurement,E3 ubiquitin-protein ligase CHIP,
ribosome-binding protein 1 measurement,ribosome-binding protein 1,
ragulator complex protein LAMTOR3 measurement,LAMTOR3,
level of neurocan core protein in blood serum,level,D000082162
dual specificity mitogen-activated protein kinase kinase 1 measurement,dual specificity,D054638
dihydropyrimidinase-related protein 3 measurement,dihydropyrimidinase-related protein 3,
"diet measurement, glomerular filtration rate",diet measurement,
iron metabolism disease,iron metabolism disease,
E3 ubiquitin-protein ligase DTX3L measurement,E3 ubiquitin-protein ligase DTX3L measurement,
ROBO2/SCARF2 protein level ratio in blood,ROBO2/SCARF2 protein,
inactive pancreatic lipase-related protein 1 measurement,inactive,
RING finger protein 215 measurement,RING finger protein,
ICA1/TANK protein level ratio in blood,ICA1/TANK protein,
FCRL5/LY96 protein level ratio in blood,FCRL5/LY96 protein,
chloride intracellular channel protein 4 measurement,chloride intracellular channel protein 4 measurement,
"attention deficit hyperactivity disorder, obsessive-compulsive symptom measurement, type 2 diabetes mellitus",attention,D001288
rho GTPase-activating protein 5 measurement,GTPase-activating protein 5,
ICA1/YTHDF3 protein level ratio in blood,ICA1/YTHDF3 protein,
level of adhesion G-protein coupled receptor G2 in blood,level,D000082162
mitogen-activated protein kinase 8 measurement,mitogen-activated protein kinase 8,D048055
OMD/SPP1 protein level ratio in blood,OMD/SPP1 protein,
PVALB/TST protein level ratio in blood,PVALB/TST,
delta/notch like EGF Repeat Containing protein measurement,delta/notch,
level of apolipoprotein A-II in blood,level,D000082162
cold shock domain-containing protein E1 measurement,cold shock domain-containing protein E1 measurement,
cryptic protein measurement,cryptic protein measurement,
level of EGF-like repeat and discoidin I-like domain-containing protein 3 in blood,level,D000082162
CASP8/PVALB protein level ratio in blood,CASP8/PVALB protein,
"grpE protein homolog 1, mitochondrial measurement",grpE protein homolog 1,
FCRL1/TCL1A protein level ratio in blood,FCRL1/TCL1A protein,
low density lipoprotein cholesterol measurement,low density lipoprotein cholesterol measurement,
"trait in response to hydrochlorothiazide, systolic blood pressure change measurement",trait,D000071421
mitotic-spindle organizing protein 1 measurement,mitotic-spindle organizing protein 1 measurement,
OLR1/OSM protein level ratio in blood,OLR1/OSM protein,
level of brain-specific angiogenesis inhibitor 1-associated protein 2 in blood,level,D000082162
level of MIT domain-containing protein 1 in blood,level,D000082162
level of methylated-DNA--protein-cysteine methyltransferase in blood serum,level,D000082162
"diet measurement, HOMA-IR",diet measurement,
alcoholic pancreatitis,alcoholic pancreatitis,
amphoterin-induced protein 2 measurement,amphoterin-induced protein 2 measurement,
level of UL16-binding protein 2 in blood,level,D000082162
AH receptor-interacting protein measurement,AH,
LTBR/TNFRSF14 protein level ratio in blood,LTBR/TNFRSF14 protein,
activator of 90 kDa heat shock protein ATPase homolog 1 measurement,activator,D000202
"NFU1 iron-sulfur cluster scaffold homolog, mitochondrial measurement",NFU1,
FYB1/PPP1R12A protein level ratio in blood,FYB1/PPP1R12A protein,
p53 and DNA damage-regulated protein 1 measurement,p53,D016158
"schizophrenia, anorexia nervosa, obesity",schizophrenia,D012559
CD58/LTBR protein level ratio in blood,CD58/LTBR protein,
bone morphogenetic protein 7 measurement,bone morphogenetic protein 7,D055419
DAPP1/GRAP2 protein level ratio in blood,DAPP1/GRAP2 protein,
BCL2/adenovirus E1B 19 kDa protein-interacting protein 3 measurement,BCL2/adenovirus E1B,
DNMBP/WWP2 protein level ratio in blood,DNMBP/WWP2 protein,
CD300C/GOLM2 protein level ratio in blood,CD300C/GOLM2 protein,
small integral membrane protein 9 measurement,integral membrane protein,
level of protein LYRIC in blood,level,D000082162
CD300C/LRRC25 protein level ratio in blood,CD300C/LRRC25 protein,
mitogen-activated protein kinase 14 measurement,mitogen-activated protein kinase,D048031
CD300C/HAVCR2 protein level ratio in blood,CD300C/HAVCR2 protein,
mitogen-activated protein kinase 1 measurement,mitogen-activated protein kinase 1,D019950
FXN/TST protein level ratio in blood,FXN/TST protein,
CIAPIN1/PLPBP protein level ratio in blood,CIAPIN1/PLPBP protein,
level of breakpoint cluster region protein in blood,level,D000082162
"systolic blood pressure, alcohol drinking",systolic blood pressure,
Sushi domain-containing protein 2 measurement,Sushi domain-containing protein 2 measurement,
level of adhesion G-protein coupled receptor V1 in blood,level,D000082162
ART3/RGMA protein level ratio in blood,ART3/RGMA protein,
fibroblast growth factor 5 amount,fibroblast growth factor,D016220
level of pancreatic secretory granule membrane major glycoprotein GP2 in blood,level,D000082162
CDC37/MSRA protein level ratio in blood,CDC37/MSRA protein,
CLEC1B/DIABLO protein level ratio in blood,CLEC1B/DIABLO protein,
fibronectin type III domain-containing protein 5 measurement,measurement,D054791
APP/SPARC protein level ratio in blood,APP/SPARC protein,
HEXIM1/IPCEF1 protein level ratio in blood,HEXIM1/IPCEF1 protein,
level of forkhead box protein O1 in blood,level,D000082162
level of Ras-related protein Rab-6A in blood,level,D000082162
"fatty acid amount, milk amount, fetal genotype effect measurement",fatty acid,D000090943
LGALS9/SIGLEC1 protein level ratio in blood,LGALS9/SIGLEC1 protein level,
ART3/RGMB protein level ratio in blood,ART3/RGMB protein,
"Orofacial cleft, alcohol consumption quality",Orofacial cleft,
level of low-density lipoprotein receptor-related protein 4 in blood serum,level,D000082162
NPDC1/TAFA5 protein level ratio in blood,NPDC1/TAFA5 protein,
matrix metalloproteinase 1 measurement,matrix metalloproteinase,D020781
CRKL/PLA2G4A protein level ratio in blood,CRKL/PLA2G4A protein,
CXCL11/ITGB1BP2 protein level ratio in blood,CXCL11/ITGB1BP2 protein,
CRTAM/GZMA protein level ratio in blood,CRTAM/GZMA protein,
level of vitelline membrane outer layer protein 1 in blood,level,D000082162
"metabolite measurement, diet measurement",metabolite,
PDGFB/SDC4 protein level ratio in blood,PDGFB/SDC4 protein,
vitamin deficiency disorder,vitamin deficiency disorder,
CRADD/EDAR protein level ratio in blood,CRADD/EDAR protein,
PLPBP/STIP1 protein level ratio in blood,PLPBP/STIP1 protein,
response to calcium channel blocker,calcium channel blocker,D002121
protein jagged-1 measurement,protein jagged-1 measurement,
GFRA1/TNFRSF1A protein level ratio in blood,GFRA1/TNFRSF1A protein,
CD244/CRTAM protein level ratio in blood,CD244/CRTAM protein,
CXCL1/CXCL5 protein level ratio in blood,CXCL1/CXCL5 protein,
non-histone chromosomal protein HMG-14 measurement,chromosomal protein,D002868
OLR1/PLAUR protein level ratio in blood,OLR1/PLAUR protein,
level of pancreatic lipase-related protein 2 in blood serum,level,D000082162
CCL13/CCL17 protein level ratio in blood,CCL13/CCL17 protein,
"schizophrenia, type 2 diabetes mellitus",schizophrenia,D012559
IRAK4/VASH1 protein level ratio in blood,IRAK4/VASH1 protein,
REG4/SPINK4 protein level ratio in blood,REG4/SPINK4 protein,
EBAG9/FKBP5 protein level ratio in blood,EBAG9/FKBP5 protein,
"level of FYVE, RhoGEF and PH domain-containing protein 3 in blood",level,D000082162
"vitamin D amount, COVID-19",vitamin D,D014807
EFNA4/TNFRSF10B protein level ratio in blood,protein level,
CNST/PRKAR1A protein level ratio in blood,CNST/PRKAR1A protein,
"beta-1,4-galactosyltransferase 7 measurement","beta-1,4-galactosyltransferase 7",
CCL17/THPO protein level ratio in blood,CCL17/THPO protein,
level of glycosylphosphatidylinositol-anchored high density lipoprotein-binding protein 1 in blood,level,D000082162
CXCL6/LAT protein level ratio in blood,CXCL6/LAT protein,
ENO1/FIS1 protein level ratio in blood,ENO1/FIS1 protein,
CCL17/PDGFB protein level ratio in blood,CCL17/PDGFB protein,
level of fatty acid-binding protein 5 in blood,level,D000082162
HBEGF/PDGFA protein level ratio in blood,HBEGF/PDGFA protein,
alpha-2-HS-glycoprotein measurement,alpha-2-HS-glycoprotein measurement,
"level of myosin-binding protein C, fast-type in blood",level,D000082162
"response to antihypertensive drug, diabetes mellitus, response to beta blocker, response to calcium channel blocker",response,D061745
matrix metalloproteinase measurement,matrix metalloproteinase measurement,
LSP1/PXN protein level ratio in blood,LSP1/PXN protein,
peak insulin response measurement,peak insulin response measurement,
protein-tyrosine sulfotransferase 2 measurement,protein-tyrosine sulfotransferase 2 measurement,
"tyrosine-protein kinase receptor Tie-1, soluble measurement",tyrosine-protein kinase receptor,
"response to statin, low density lipoprotein cholesterol measurement",response,D061745
"lipid or lipoprotein measurement, high density lipoprotein cholesterol measurement",lipid,D008050
PLA2G4A/PTPN6 protein level ratio in blood,PLA2G4A/PTPN6 protein,
"obsessive-compulsive disorder, major depressive episode, attention deficit hyperactivity disorder, schizophrenia, obesity",obsessive-compulsive disorder,D009771
"diastolic blood pressure, metabolic syndrome",diastolic blood pressure,
level of FAS-associated death domain protein in blood,level,D000082162
THY1/TNFRSF21 protein level ratio in blood,THY1/TNFRSF21 protein,
CTSC/PLA2G15 protein level ratio in blood,CTSC/PLA2G15 protein,
CRADD/MAP4K5 protein level ratio in blood,CRADD/MAP4K5 protein,
CLEC1B/DAB2 protein level ratio in blood,CLEC1B/DAB2,
systolic blood pressure change measurement,systolic blood pressure change,
PTPN6/YES1 protein level ratio in blood,PTPN6/YES1 protein level,
PLPBP/SNX9 protein level ratio in blood,PLPBP/SNX9,
level of protein LEG1 homolog in blood,level,D000082162
"remnant cholesterol measurement, high density lipoprotein cholesterol measurement",remnant,D053298
TNFRSF1A/TNFRSF1B protein level ratio in blood,TNFRSF1A/TNFRSF1B protein,
APP/CCL5 protein level ratio in blood,APP/CCL5 protein,
PRKAR1A/SNAP23 protein level ratio in blood,PRKAR1A/SNAP23 protein,
level of cartilage acidic protein 1 in blood,level,D000082162
CDKN1A/TBL1X protein level ratio in blood,CDKN1A/TBL1X protein,
zinc finger protein 175 measurement,zinc finger protein,D000075722
NCK2/VASH1 protein level ratio in blood,NCK2/VASH1 protein,
PDCD5/PPCDC protein level ratio in blood,PDCD5/PPCDC protein,
"blood glucose amount, body fat percentage",blood glucose,D001786
CCDC80/CCL27 protein level ratio in blood,CCDC80/CCL27 protein,
level of apolipoprotein A-I in blood serum,level,D000082162
PDLIM7/TBC1D23 protein level ratio in blood,PDLIM7/TBC1D23 protein,
FLI1/IPCEF1 protein level ratio in blood,FLI1/IPCEF1 protein,
"trans fatty acid measurement, trans-16:1n-7 fatty acid measurement",trans fatty acid measurement,
SPARC/VEGFC protein level ratio in blood,SPARC/VEGFC protein,
AXIN1/ITGB1BP2 protein level ratio in blood,AXIN1/ITGB1BP2 protein,
level of transferrin receptor protein 1 in blood serum,level,D000082162
receptor tyrosine-protein kinase erbb-2 measurement,measurement,D054791
"type 2 diabetes mellitus, metabolic syndrome",type 2 diabetes mellitus,
DKK4/REG1A protein level ratio in blood,DKK4/REG1A protein,
protein DEPP measurement,protein DEPP,
PLAUR/TREM2 protein level ratio in blood,PLAUR/TREM2,
level of fibronectin type III domain-containing protein 1 in blood,level,D000082162
PPP1R2/TYMP protein level ratio in blood,PPP1R2/TYMP protein,
level of reversion-inducing cysteine-rich protein with Kazal motifs in blood,level,D000082162
level of fibroblast growth factor-binding protein 3 in blood,level,D000082162
UPF0577 protein KIAA1324-like measurement,KIAA1324-like measurement,
Abnormality of metabolism/homeostasis,Abnormality,D014102
DNMBP/STX4 protein level ratio in blood,DNMBP/STX4 protein,
MSTN/RGMA protein level ratio in blood,MSTN/RGMA protein,
"esterified cholesterol measurement, blood VLDL cholesterol amount, chylomicron amount",esterified cholesterol measurement,
metabolic rate measurement,metabolic rate measurement,
HAVCR2/PILRA protein level ratio in blood,HAVCR2/PILRA protein,
KAZALD1/VCAM1 protein level ratio in blood,KAZALD1/VCAM1 protein,
ALCAM/MSR1 protein level ratio in blood,ALCAM/MSR1 protein,
CST6/NECTIN4 protein level ratio in blood,CST6/NECTIN4 protein,
ANGPT1/DKK1 protein level ratio in blood,ANGPT1/DKK1 protein,
E3 ubiquitin-protein ligase CBL measurement,E3 ubiquitin-protein ligase CBL measurement,
DAB2/DAPP1 protein level ratio in blood,DAB2/DAPP1 protein,
"high density lipoprotein cholesterol measurement, metabolic syndrome",high density lipoprotein cholesterol measurement,
CRKL/IRAK4 protein level ratio in blood,CRKL/IRAK4 protein,
CD55/ITGB1 protein level ratio in blood,CD55/ITGB1,
CXCL5/CXCL8 protein level ratio in blood,CXCL5/CXCL8 protein,
CD27/NBL1 protein level ratio in blood,CD27/NBL1 protein,
CX3CL1/LAYN protein level ratio in blood,CX3CL1/LAYN protein,
vitamin B12 deficiency,vitamin B12,
HBEGF/PDGFB protein level ratio in blood,HBEGF/PDGFB protein,
diabetes mellitus biomarker,diabetes mellitus,D003920
CHMP1A/VASH1 protein level ratio in blood,CHMP1A/VASH1 protein,
ESAM/SPINT2 protein level ratio in blood,ESAM/SPINT2 protein,
CD27/CD79B protein level ratio in blood,CD27/CD79B protein,
"urate measurement, diet measurement",urate measurement,
level of V-set and transmembrane domain-containing protein 1 in blood serum,level,D000082162
serine/threonine-protein kinase PIM-1 measurement,serine/threonine-protein kinase,D000071158
"stroke, type 2 diabetes mellitus, coronary artery disease",stroke,D020521
CXCL5/CXCL6 protein level ratio in blood,CXCL5/CXCL6 protein,
CLEC1B/F11R protein level ratio in blood,CLEC1B/F11R protein,
ESAM/PDGFB protein level ratio in blood,ESAM/PDGFB protein,
"dietary heme iron intake measurement, type 2 diabetes mellitus",dietary,D000080224
ANXA3/SERPINB1 protein level ratio in blood,ANXA3/SERPINB1 protein,
LCN2/RETN protein level ratio in blood,LCN2/RETN protein,
level of treacle protein in blood,level,D000082162
DKK1/SERPINE1 protein level ratio in blood,DKK1/SERPINE1 protein,
protein FAM189A2 measurement,protein FAM189A2 measurement,
ANGPT1/SERPINE1 protein level ratio in blood,ANGPT1/SERPINE1,
interleukin-1 receptor accessory protein measurement,interleukin-1 receptor,D053590
"leucine-rich PPR motif-containing protein, mitochondrial measurement",leucine-rich,D000090263
mitogen-activated protein kinase 3 measurement,mitogen-activated protein kinase 3,D048052
CRADD/HSPA1A protein level ratio in blood,CRADD/HSPA1A protein,
"blood pressure trait, diastolic blood pressure, age at assessment",blood pressure trait,
EFNA4/SCARB2 protein level ratio in blood,EFNA4/SCARB2 protein,
NRCAM/PCDH17 protein level ratio in blood,NRCAM/PCDH17 protein,
COL18A1/RETN protein level ratio in blood,COL18A1/RETN protein,
RWDD1/SUMF2 protein level ratio in blood,RWDD1/SUMF2 protein,
level of death-associated protein 1 in blood serum,level,D000082162
CLEC1B/RWDD1 protein level ratio in blood,CLEC1B/RWDD1 protein,
"blood pressure trait, mean arterial pressure, age at assessment",blood pressure trait,
"schizophrenia, obsessive-compulsive symptom measurement, type 2 diabetes mellitus, major depressive disorder",schizophrenia,D012559
"type 2 diabetes mellitus, obesity",type 2 diabetes mellitus,
CLEC1B/HEXIM1 protein level ratio in blood,CLEC1B/HEXIM1 protein,
"educational attainment, systolic blood pressure",educational attainment,
"obsessive-compulsive disorder, obesity",obsessive-compulsive disorder,D009771
BST2/CEACAM1 protein level ratio in blood,BST2/CEACAM1 protein,
v-set and immunoglobulin domain-containing protein 2 measurement,immunoglobulin domain-containing protein 2 measurement,
CREG1/NAAA protein level ratio in blood,CREG1/NAAA protein,
CLEC4G/LGALS4 protein level ratio in blood,CLEC4G/LGALS4 protein,
cholesteryl esters to total lipids in very large HDL percentage ,cholesteryl esters,
CDC37/SNAP29 protein level ratio in blood,CDC37/SNAP29 protein,
ITGB1BP2/PLXNA4 protein level ratio in blood,ITGB1BP2/PLXNA4 protein,
dual specificity mitogen-activated protein kinase kinase 4 measurement,dual specificity,D054638
"vitamin D amount, Abnormality of skin pigmentation",vitamin D,D014807
cysteine-rich secretory protein 2 measurement,cysteine-rich secretory protein 2 measurement,
CRTAM/LY9 protein level ratio in blood,CRTAM/LY9 protein,
amyloid beta A4 protein measurement,amyloid beta A4 protein measurement,
"HDL cholesterol change measurement, response to statin, trait in response to vitamin B3",HDL cholesterol change measurement,
matrix metalloproteinase 7 measurement,matrix,D001857
level of phenazine biosynthesis-like domain-containing protein in blood,level,D000082162
"body mass index, type 2 diabetes mellitus",body mass index,D015992
DKK1/NID2 protein level ratio in blood,DKK1/NID2 protein,
"response to statin, PCSK9 protein measurement",response,D061745
PPP1R12A/PPP1R9B protein level ratio in blood,PPP1R12A/PPP1R9B protein,
KITLG/PLTP protein level ratio in blood,KITLG/PLTP protein,
level of Ly6/PLAUR domain-containing protein 8 in blood serum,level,D000082162
SRPK2/VASH1 protein level ratio in blood,SRPK2/VASH1 protein,
vitamin E amount,vitamin E,D014810
level of glutaredoxin-related protein 5 in blood,level,D000082162
interleukin-18-binding protein measurement,protein measurement,
retinoic acid receptor responder protein 1 measurement,retinoic acid receptor responder protein 1,
level of receptor-type tyrosine-protein phosphatase zeta in blood,level,D000082162
BCAN/DPP6 protein level ratio in blood,BCAN/DPP6 protein,
APP/HBEGF protein level ratio in blood,APP/HBEGF protein,
level of membrane cofactor protein in blood,level,D000082162
"low density lipoprotein cholesterol measurement, coronary artery disease",low density lipoprotein cholesterol measurement,
"triglyceride change measurement, trait in response to fatty acid",triglyceride change,
CD27/TNFRSF9 protein level ratio in blood,CD27/TNFRSF9 protein,
ICAM1/REG1B protein level ratio in blood,ICAM1/REG1B protein,
TNC/VCAM1 protein level ratio in blood,TNC/VCAM1 protein,
D-Glucose measurement,D-Glucose measurement,
APP/VEGFC protein level ratio in blood,APP/VEGFC protein,
AXL/MCAM protein level ratio in blood,AXL/MCAM protein,
PTPN6/SULT1A1 protein level ratio in blood,PTPN6/SULT1A1 protein,
NECTIN4/SPINK5 protein level ratio in blood,NECTIN4/SPINK5 protein,
DEFA1/LCN2 protein level ratio in blood,DEFA1/LCN2 protein,
acute insulin response measurement,acute,D000006
calcium/calmodulin-dependent protein kinase kinase 1 measurement,calcium/calmodulin-dependent protein kinase kinase 1,
level of disintegrin and metalloproteinase domain-containing protein 12 in blood,level,D000082162
retinoid-binding protein 7 measurement,retinoid-binding protein 7,
FXYD5/VASH1 protein level ratio in blood,FXYD5/VASH1 protein,
CCL28/PDGFB protein level ratio in blood,CCL28/PDGFB protein,
a disintegrin and metalloproteinase with thrombospondin motifs 15 measurement,disintegrin,D019483
PLXNA4/SNAP29 protein level ratio in blood,PLXNA4/SNAP29 protein,
testis-expressed sequence 29 protein measurement,testis-expressed sequence 29 protein measurement,
"vitamin D amount, vitamin D dietary intake measurement",vitamin D,D014807
DAB2/FKBP5 protein level ratio in blood,DAB2/FKBP5 protein,
DAPP1/ITGB1BP2 protein level ratio in blood,DAPP1/ITGB1BP2 protein,
EDAR/EGF protein level ratio in blood,EDAR/EGF protein,
DSG3/SPINK5 protein level ratio in blood,DSG3/SPINK5 protein,
CLEC1B/NSFL1C protein level ratio in blood,CLEC1B/NSFL1C protein,
"BMI-adjusted waist-hip ratio, adult onset asthma",BMI-adjusted waist-hip ratio,
"waist-hip ratio, high density lipoprotein cholesterol measurement",waist-hip ratio,D049629
CD83/TREM2 protein level ratio in blood,CD83/TREM2 protein,
BLVRB/PSMD9 protein level ratio in blood,BLVRB/PSMD9 protein level,
pyrin domain-containing protein 1 measurement,measurement,D054791
LAMA4/PDGFB protein level ratio in blood,LAMA4/PDGFB protein,
SMAD1/ZBTB16 protein level ratio in blood,SMAD1/ZBTB16 protein,
dual specificity protein phosphatase 13 isoform A measurement,dual specificity protein phosphatase,
serum amyloid A protein measurement,serum,D044967
CD40LG/SERPINE1 protein level ratio in blood,CD40LG/SERPINE1 protein,
CRADD/DARS1 protein level ratio in blood,CRADD/DARS1 protein,
protein kinase C-binding protein NELL1 measurement,protein kinase C-binding protein,
ACE2/GGT1 protein level ratio in blood,ACE2/GGT1 protein,
CLEC1B/VTA1 protein level ratio in blood,CLEC1B/VTA1 protein,
JAM2/TNFRSF21 protein level ratio in blood,JAM2/TNFRSF21 protein,
vitamin B12 measurement,vitamin B12,
PH and SEC7 domain-containing protein 2 measurement,PH,D050782
PDLIM7/PLA2G4A protein level ratio in blood,PDLIM7/PLA2G4A protein,
SPINK5/SPINT1 protein level ratio in blood,SPINK5/SPINT1 protein,
CD244/GP1BA protein level ratio in blood,CD244/GP1BA protein,
CXCL5/SDC4 protein level ratio in blood,protein level,
a disintegrin and metalloproteinase with thrombospondin motifs 13 measurement,disintegrin,D019483
CD244/CD84 protein level ratio in blood,CD244/CD84 protein,
level of disintegrin and metalloproteinase domain-containing protein 9 in blood,level,D000082162
kin of IRRE-like protein 2 measurement,kin,
angiopoietin-related protein 3 measurement,angiopoietin-related protein 3 measurement,
PDGFB/VEGFC protein level ratio in blood,PDGFB/VEGFC protein,
